Blender Node,Node Category,Unity Equivalent,Compatibility %,Conversion Strategy,Parameters to Map,Notes,Custom Node File,Documentation File,Example File
Texture Coordinate,Input,UV / Object Pos,95%,Direct mapping,"UV Set, Object, Camera, Window, Normal, Tangent",Map UV/Position inputs,data/custom_nodes/ShaderNodeTexCoord.json,data/custom_nodes/docs/ShaderNodeTexCoord.md,data/custom_nodes/examples/Input/Texture Coordinate.shadersubgraph
UV Map,Input,UV (Custom),95%,Direct mapping,UV Map name,Custom UV set support,data/custom_nodes/ShaderNodeUVMap.json,data/custom_nodes/docs/ShaderNodeUVMap.md,data/custom_nodes/examples/Input/Texture Coordinate.shadersubgraph
Tangent,Input,Tangent (custom),85%,Direct mapping,Direction (Radial/X/Y/Z),Vertex tangent space,data/custom_nodes/ShaderNodeTangent.json,data/custom_nodes/docs/ShaderNodeTangent.md,data/custom_nodes/examples/Input/Geometry.shadersubgraph
Normal,Input,Normal,90%,Direct mapping,,Vertex normal vector,data/custom_nodes/ShaderNodeNormal.json,data/custom_nodes/docs/ShaderNodeNormal.md,data/custom_nodes/examples/ShaderNodeNormal/Normals.shadergraph
Value,Input,Float Constant,100%,Direct mapping,Value,Simple constant,data/custom_nodes/ShaderNodeValue.json,data/custom_nodes/docs/ShaderNodeValue.md,data/custom_nodes/examples/Converter/BlenderMath.shadersubgraph
RGB,Input,Color Constant,100%,Direct mapping,Color RGBA,Simple color constant,data/custom_nodes/ShaderNodeRGB.json,data/custom_nodes/docs/ShaderNodeRGB.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
Attribute,Input,Vertex Attribute,85%,Map to vertex data,Attribute name,Custom attributes required,data/custom_nodes/ShaderNodeAttribute.json,data/custom_nodes/docs/ShaderNodeAttribute.md,data/custom_nodes/examples/Input/Geometry.shadersubgraph
Layer Weight,Input,Fresnel/Facing,75%,Approximate with Fresnel,"Blend type, Blend factor",Needs custom setup,data/custom_nodes/ShaderNodeLayerWeight.json,data/custom_nodes/docs/ShaderNodeLayerWeight.md,data/custom_nodes/examples/ShaderNodeFresnel/MeshRenderer-ColorRim.ShaderGraph
Fresnel,Input,Fresnel,95%,Direct mapping,"IOR, Normal",Direct conversion,data/custom_nodes/ShaderNodeFresnel.json,data/custom_nodes/docs/ShaderNodeFresnel.md,data/custom_nodes/examples/ShaderNodeFresnel/Camera Based Outline.shader
Hair Info,Input,N/A (Custom attr),20%,Use vertex attributes,"Hair strand, length, weight",Hair system specific,data/custom_nodes/ShaderNodeHairInfo.json,data/custom_nodes/docs/ShaderNodeHairInfo.md,data/custom_nodes/examples/ShaderNodeHairInfo/NormalBlend.shadergraph
Object Info,Input,Object property,65%,Script-based property,"Location, index, color",Requires C# script,data/custom_nodes/ShaderNodeObjectInfo.json,data/custom_nodes/docs/ShaderNodeObjectInfo.md,data/custom_nodes/examples/Input/Object Info.shadersubgraph
Particle Info,Input,,10%,Custom vertex setup,"Particle index, age, velocity",Particle system dependent,data/custom_nodes/ShaderNodeParticleInfo.json,data/custom_nodes/docs/ShaderNodeParticleInfo.md,data/custom_nodes/examples/ShaderNodeParticleInfo/ParticleEffect.shadergraph
Light Path,Input,,0%,Impossible in real-time,"Ray type, bounce count",Rendering-specific logic,data/custom_nodes/ShaderNodeLightPath.json,data/custom_nodes/docs/ShaderNodeLightPath.md,
Wavelength,Input,Color lookup,35%,Hardcoded RGB table,380-780nm wavelength,Physics approximation,data/custom_nodes/ShaderNodeBlackbody.json,data/custom_nodes/docs/ShaderNodeBlackbody.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
Color Ramp,Input,Custom Gradient,75%,Bake to texture,"Ramp points, interpolation",Requires texture baking,data/custom_nodes/ShaderNodeColorRamp.json,data/custom_nodes/docs/ShaderNodeColorRamp.md,data/custom_nodes/examples/Converter/Color Ramp.shadersubgraph
